,descriptor mixto,precision,cobertura,f-medida
0,color+forma,0.8533333333333333,0.8,0.8258064516129032
1,color+textura,0.8833333333333332,0.8666666666666666,0.8749206349206348
2,textura+forma,0.8533333333333333,0.8,0.8258064516129032
3,color+textura+forma,0.8533333333333333,0.8,0.8258064516129032
