,C,gamma,Precisión,Cobertura,F1
0,1000.0,0.01,0.85,0.7333333333333333,0.7873684210526316
1,1000.0,0.001,0.8,0.6,0.6857142857142857
2,5000.0,0.01,0.9,0.8,0.8470588235294118
3,5000.0,0.001,0.8357142857142857,0.6666666666666667,0.7416798732171158
