,hidden_layer_sizes,activation,precision,recall,f1
0,50,identity,0.8166666666666667,0.7999999999999999,0.8082474226804124
1,50,logistic,0.85,0.7333333333333333,0.7873684210526316
2,"(50, 50)",identity,0.8333333333333333,0.7999999999999999,0.8163265306122447
3,"(50, 50)",logistic,0.44666666666666666,0.5333333333333333,0.48616780045351476
