,bins/textones,Precisión,Cobertura,F1
0,8,0.39999999999999997,0.39999999999999997,0.39999999999999997
1,12,0.469047619047619,0.4666666666666667,0.4678541136556403
2,15,0.27999999999999997,0.3333333333333333,0.30434782608695654
3,18,0.2583333333333333,0.4,0.3139240506329114
