,Orientacion,PixelXCelda,Precisión,Cobertura,F1
0,32,32,0.7833333333333333,0.6666666666666666,0.7203065134099615
1,32,64,0.6057142857142856,0.6,0.6028436018957346
2,64,32,0.375,0.4666666666666666,0.4158415841584159
3,64,64,0.36,0.4,0.3789473684210526
