,Experimento,Precisión,Cobertura,F1
0,color_1000.0_0.0001,0.8,0.6,0.6857142857142857
1,color_1000.0_0.0005,0.8,0.6,0.6857142857142857
2,color_1000.0_0.001,0.8,0.6,0.6857142857142857
3,color_1000.0_0.005,0.8357142857142857,0.6666666666666667,0.7416798732171158
4,color_1000.0_0.01,0.85,0.7333333333333333,0.7873684210526316
5,color_1000.0_0.1,0.9,0.8,0.8470588235294118
6,color_5000.0_0.0001,0.8,0.6,0.6857142857142857
7,color_5000.0_0.0005,0.8,0.6,0.6857142857142857
8,color_5000.0_0.001,0.8357142857142857,0.6666666666666667,0.7416798732171158
9,color_5000.0_0.005,0.85,0.7333333333333333,0.7873684210526316
10,color_5000.0_0.01,0.9,0.8,0.8470588235294118
11,color_5000.0_0.1,0.9199999999999999,0.8666666666666666,0.8925373134328357
12,color_10000.0_0.0001,0.8,0.6,0.6857142857142857
13,color_10000.0_0.0005,0.8357142857142857,0.6666666666666667,0.7416798732171158
14,color_10000.0_0.001,0.85,0.7333333333333333,0.7873684210526316
15,color_10000.0_0.005,0.9,0.8,0.8470588235294118
16,color_10000.0_0.01,0.9,0.8,0.8470588235294118
17,color_10000.0_0.1,0.9199999999999999,0.8666666666666666,0.8925373134328357
18,color_50000.0_0.0001,0.8357142857142857,0.6666666666666667,0.7416798732171158
19,color_50000.0_0.0005,0.85,0.7333333333333333,0.7873684210526316
20,color_50000.0_0.001,0.9,0.8,0.8470588235294118
21,color_50000.0_0.005,0.9199999999999999,0.8666666666666666,0.8925373134328357
22,color_50000.0_0.01,0.9199999999999999,0.8666666666666666,0.8925373134328357
23,color_50000.0_0.1,0.9199999999999999,0.8666666666666666,0.8925373134328357
24,color_100000.0_0.0001,0.85,0.7333333333333333,0.7873684210526316
25,color_100000.0_0.0005,0.9,0.8,0.8470588235294118
26,color_100000.0_0.001,0.9,0.8,0.8470588235294118
27,color_100000.0_0.005,0.9199999999999999,0.8666666666666666,0.8925373134328357
28,color_100000.0_0.01,0.9199999999999999,0.8666666666666666,0.8925373134328357
29,color_100000.0_0.1,0.9199999999999999,0.8666666666666666,0.8925373134328357
30,texture_1000.0_0.0001,0.3333333333333333,0.4,0.3636363636363636
31,texture_1000.0_0.0005,0.35,0.4,0.3733333333333333
32,texture_1000.0_0.001,0.35,0.4,0.3733333333333333
33,texture_1000.0_0.005,0.35,0.4,0.3733333333333333
34,texture_1000.0_0.01,0.4333333333333333,0.5333333333333333,0.4781609195402299
35,texture_1000.0_0.1,0.39666666666666667,0.4666666666666666,0.4288288288288288
36,texture_5000.0_0.0001,0.3333333333333333,0.4,0.3636363636363636
37,texture_5000.0_0.0005,0.35,0.4,0.3733333333333333
38,texture_5000.0_0.001,0.35,0.4,0.3733333333333333
39,texture_5000.0_0.005,0.4533333333333333,0.4666666666666666,0.45990338164251204
40,texture_5000.0_0.01,0.4533333333333333,0.4666666666666666,0.45990338164251204
41,texture_5000.0_0.1,0.3833333333333333,0.4666666666666666,0.4209150326797385
42,texture_10000.0_0.0001,0.3333333333333333,0.4,0.3636363636363636
43,texture_10000.0_0.0005,0.35,0.4,0.3733333333333333
44,texture_10000.0_0.001,0.4333333333333333,0.5333333333333333,0.4781609195402299
45,texture_10000.0_0.005,0.4533333333333333,0.4666666666666666,0.45990338164251204
46,texture_10000.0_0.01,0.39666666666666667,0.4666666666666666,0.4288288288288288
47,texture_10000.0_0.1,0.3833333333333333,0.4666666666666666,0.4209150326797385
48,texture_50000.0_0.0001,0.3333333333333333,0.4,0.3636363636363636
49,texture_50000.0_0.0005,0.4533333333333333,0.4666666666666666,0.45990338164251204
50,texture_50000.0_0.001,0.4533333333333333,0.4666666666666666,0.45990338164251204
51,texture_50000.0_0.005,0.3833333333333333,0.4666666666666666,0.4209150326797385
52,texture_50000.0_0.01,0.3833333333333333,0.4666666666666666,0.4209150326797385
53,texture_50000.0_0.1,0.33999999999999997,0.39999999999999997,0.36756756756756753
54,texture_100000.0_0.0001,0.42000000000000004,0.5333333333333333,0.4699300699300699
55,texture_100000.0_0.0005,0.4533333333333333,0.4666666666666666,0.45990338164251204
56,texture_100000.0_0.001,0.39666666666666667,0.4666666666666666,0.4288288288288288
57,texture_100000.0_0.005,0.3833333333333333,0.4666666666666666,0.4209150326797385
58,texture_100000.0_0.01,0.3833333333333333,0.4666666666666666,0.4209150326797385
59,texture_100000.0_0.1,0.4333333333333333,0.39999999999999997,0.416
60,shape_1000.0_0.0001,0.72,0.6666666666666666,0.6923076923076923
61,shape_1000.0_0.0005,0.72,0.6666666666666666,0.6923076923076923
62,shape_1000.0_0.001,0.72,0.6666666666666666,0.6923076923076923
63,shape_1000.0_0.005,0.72,0.6666666666666666,0.6923076923076923
64,shape_1000.0_0.01,0.72,0.6666666666666666,0.6923076923076923
65,shape_1000.0_0.1,0.8533333333333333,0.8,0.8258064516129032
66,shape_5000.0_0.0001,0.72,0.6666666666666666,0.6923076923076923
67,shape_5000.0_0.0005,0.72,0.6666666666666666,0.6923076923076923
68,shape_5000.0_0.001,0.72,0.6666666666666666,0.6923076923076923
69,shape_5000.0_0.005,0.72,0.6666666666666666,0.6923076923076923
70,shape_5000.0_0.01,0.72,0.6666666666666666,0.6923076923076923
71,shape_5000.0_0.1,0.8533333333333333,0.8,0.8258064516129032
72,shape_10000.0_0.0001,0.72,0.6666666666666666,0.6923076923076923
73,shape_10000.0_0.0005,0.72,0.6666666666666666,0.6923076923076923
74,shape_10000.0_0.001,0.72,0.6666666666666666,0.6923076923076923
75,shape_10000.0_0.005,0.72,0.6666666666666666,0.6923076923076923
76,shape_10000.0_0.01,0.72,0.6666666666666666,0.6923076923076923
77,shape_10000.0_0.1,0.8533333333333333,0.8,0.8258064516129032
78,shape_50000.0_0.0001,0.72,0.6666666666666666,0.6923076923076923
79,shape_50000.0_0.0005,0.72,0.6666666666666666,0.6923076923076923
80,shape_50000.0_0.001,0.72,0.6666666666666666,0.6923076923076923
81,shape_50000.0_0.005,0.72,0.6666666666666666,0.6923076923076923
82,shape_50000.0_0.01,0.72,0.6666666666666666,0.6923076923076923
83,shape_50000.0_0.1,0.8533333333333333,0.8,0.8258064516129032
84,shape_100000.0_0.0001,0.72,0.6666666666666666,0.6923076923076923
85,shape_100000.0_0.0005,0.72,0.6666666666666666,0.6923076923076923
86,shape_100000.0_0.001,0.72,0.6666666666666666,0.6923076923076923
87,shape_100000.0_0.005,0.72,0.6666666666666666,0.6923076923076923
88,shape_100000.0_0.01,0.72,0.6666666666666666,0.6923076923076923
89,shape_100000.0_0.1,0.8533333333333333,0.8,0.8258064516129032
