,n_trees,max_features,Precisión,Cobertura,F1
0,10,auto,0.82,0.7333333333333333,0.7742489270386266
1,10,log2,0.65,0.5999999999999999,0.6239999999999999
2,50,auto,0.8833333333333332,0.8666666666666666,0.8749206349206348
3,50,log2,0.7633333333333333,0.6666666666666666,0.7117327117327117
